ID Item,Name,Color,Unit Value,Last Inventory Quantity,Total value last inventory,Date Last Inventory,Pictures,Total consumption,Total Stock,Threshold Alarm,Check Stock,Total Value,Threshold total Value,Check total Value,Storage activities,--Storage activities,Total Stock last item,DashBoard Max pearl
BAGTISSUECOLOR1,Bag hand made colored Tissue 1,"yellow,black,green,Orange",$ 30,15,$450,2020-01-01,BagTissuColor1.jpg (https://dl.airtable.com/.attachments/98ea75b33dca6e77e834c986bda9e60c/5b6e6d40/BagTissuColor1.jpg),0,15,10,✔️ Stock Ok,$450,$500,💲 Value OK,BAGTISSUECOLOR1,BAGTISSUECOLOR1,15,
BAGTISSUECOLOR2,Backpack made Tissue 2,"yellow,black,green,white,Orange",$ 32,12,$384,2020-01-01,BagTissuColor2.jpg (https://dl.airtable.com/.attachments/4adba60f1eb467a6324b22a04e47025e/7ee6dcbc/BagTissuColor2.jpg),0,12,10,✔️ Stock Ok,$384,$500,💲 Value OK,BAGTISSUECOLOR2,BAGTISSUECOLOR2,12,
BAGTISSUECOLOR3,Backpack made Tissue 3,"yellow,black,green,white,Orange",$ 31,4,$124,2020-01-01,BagTissuColor3.jpg (https://dl.airtable.com/.attachments/2e26732a45a348b2357d4a3cf640474e/5ab71260/BagTissuColor3.jpg),0,4,10,💣 Critical Stock,$124,$200,💲 Value OK,BAGTISSUECOLOR3,BAGTISSUECOLOR3,4,
BAZINBLACKPETROL,Bazin Black Petrol,black,$ 210,1,$210,2020-01-01,BazinBlackPetrol.jpg (https://dl.airtable.com/.attachments/122fee3fbf2908a159bbdc71f5486e8d/caa7e7ea/BazinBlackPetrol.jpg),0,1,1,✔️ Stock Ok,$210,$200,⚠ Value High ⚠,BAZINBLACKPETROL,BAZINBLACKPETROL,1,
BAZINBLUE,Bazin Blue,blue,$ 210,2,$420,2020-01-01,BazinBlue.jpg (https://dl.airtable.com/.attachments/aaecad4857ed1bdaf3688808ba5e5f4d/911757bd/BazinBlue.jpg),0,2,1,✔️ Stock Ok,$420,$200,⚠ Value High ⚠,BAZINBLUE,BAZINBLUE,2,
BAZINBLUEDEEPSEA,Bazin Blue Deep Sea,purple,$ 210,1,$210,2020-01-01,BazinBlueDeepSea.jpg (https://dl.airtable.com/.attachments/2f3cc0f8c35d5809cf68d5aac3919e5d/feec49fb/BazinBlueDeepSea.jpg),0,1,1,✔️ Stock Ok,$210,$200,⚠ Value High ⚠,BAZINBLUEDEEPSEA,BAZINBLUEDEEPSEA,1,
BAZINGREENSTAR,Bazin Green Star,green,$ 210,1,$210,2020-01-01,BazinGreenStar.jpg (https://dl.airtable.com/.attachments/504f49d2e60d021e9204594070ec97cd/bbfc36eb/BazinGreenStar.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINGREENSTAR,BAZINGREENSTAR,1,
BAZINREDBLACK,Bazin Red Black,"Red,black",$ 210,1,$210,2020-01-01,BazinRedBlack.jpg (https://dl.airtable.com/.attachments/0d7ef8b991333bf11d1c47be9a58375c/facf2517/BazinRedBlack.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINREDBLACK,BAZINREDBLACK,1,
BAZINREDBLUE,Bazin Red Blue,"Red,blue",$ 210,2,$420,2020-01-01,BazinRedBlue.jpg (https://dl.airtable.com/.attachments/2e5873b8935e1fd9a8e20756f0c2430c/68211bd8/BazinRedBlue.jpg),0,2,1,✔️ Stock Ok,$420,$300,⚠ Value High ⚠,BAZINREDBLUE,BAZINREDBLUE,2,
BAZINREDGOLD,Bazin Red Gold,"Red,gold",$ 210,1,$210,2020-01-01,BazinRedGold.jpg (https://dl.airtable.com/.attachments/3e5a67458e99c7b46d9ab87758691ac8/6187b9b9/BazinRedGold.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINREDGOLD,BAZINREDGOLD,1,
BAZINSILVERBRAUN,Bazin Silver Braun,"silver,braun",$ 210,1,$210,2020-01-01,BazinSilverBraun.jpg (https://dl.airtable.com/.attachments/c2e768a4d199a53a7d4cacba7b9f4a06/9eae5c24/BazinSilverBraun.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINSILVERBRAUN,BAZINSILVERBRAUN,1,
BAZINSTRIPEDYELLOW,Bazin striped yellow,yellow,$ 210,1,$210,2020-01-01,Bazinstriped yellow.jpg (https://dl.airtable.com/.attachments/7ed81e7c77a33963a12193a6db043e7a/83db53ff/Bazinstripedyellow.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINSTRIPEDYELLOW,BAZINSTRIPEDYELLOW,1,
BAZINSTRIPEDYELLOWBLACK,Bazin striped yellow black Special,"yellow,black",$ 210,1,$210,2020-01-01,striped yellowblack.jpg (https://dl.airtable.com/.attachments/5dc7cc787efe0d513fd56442bbe5e13d/3088f4e0/stripedyellowblack.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINSTRIPEDYELLOWBLACK,BAZINSTRIPEDYELLOWBLACK,1,
BAZINYELLOWBLACK,Bazin Yellow Black,"yellow,black",$ 210,1,$210,2020-01-01,BazinYellowBlack.jpg (https://dl.airtable.com/.attachments/30454083095dbf226bd2e3932b854a6e/0da6a8a3/BazinYellowBlack.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINYELLOWBLACK,BAZINYELLOWBLACK,1,
BAZINYELLOWGOLD,Bazin Yellow Gold,"yellow,white",$ 210,1,$210,2020-01-01,BazinYellowGold.jpg (https://dl.airtable.com/.attachments/941c78e42ea4ad2ec962a04872714c40/fd101071/BazinYellowGold.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINYELLOWGOLD,BAZINYELLOWGOLD,1,
BAZINYREDBLACK,Bazin Red black,"Red,black",$ 210,1,$210,2020-01-01,BazinYredblack.jpg (https://dl.airtable.com/.attachments/1276d0cba759afe8e20887bb25b79cc0/66ef5fed/BazinYredblack.jpg),0,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,BAZINYREDBLACK,BAZINYREDBLACK,1,
