Test,Name,Pictures,Color,Category,Unit Value,Last Inventory Quantity,Total value last inventory,Date Last Inventory,Total consumption,Total Stock,Threshold Alarm,Check Stock,Total Value,Threshold total Value,Check total Value,Storage activities,Storage activities,Total Stock last item,DashBoardConf
BAGTISSUECOLOR1,Bag hand made colored Tissue 1,BagTissuColor1.jpg (https://dl.airtable.com/.attachments/98ea75b33dca6e77e834c986bda9e60c/5b6e6d40/BagTissuColor1.jpg),"yellow,black,green,Orange",Bag,$ 30,15,$450,2020-01-01,15,15,10,✔️ Stock Ok,$450,$500,💲 Value OK,,,,
BAGTISSUECOLOR2,Backpack made Tissue 2,BagTissuColor2.jpg (https://dl.airtable.com/.attachments/4adba60f1eb467a6324b22a04e47025e/7ee6dcbc/BagTissuColor2.jpg),"yellow,black,green,white,Orange",Bag,$ 32,12,$384,2020-01-01,12,12,10,✔️ Stock Ok,$384,$500,💲 Value OK,,,,
BAGTISSUECOLOR3,Backpack made Tissue 3,BagTissuColor3.jpg (https://dl.airtable.com/.attachments/2e26732a45a348b2357d4a3cf640474e/5ab71260/BagTissuColor3.jpg),"yellow,black,green,white,Orange",Bag,$ 31,4,$124,2020-01-01,4,4,10,💣 Critical Stock,$124,$200,💲 Value OK,,,,
HANDBAGGREENSTRONG,Bag hand green,Handbacgreenstrong1.jpg (https://dl.airtable.com/.attachments/9998b5be003f4df08a558d96037c3bf2/e07b9e6f/Handbacgreenstrong1.jpg),"green,white,black",Bag,$ 35,2,$70,2020-01-01,2,2,5,💣 Critical Stock,$70,$200,💲 Value OK,,,,
HANDBAGBRAUNSTRONG1,Bag hand braun,Handbackbraunstrong1.jpg (https://dl.airtable.com/.attachments/297ffcd1ba341c6ce2430fee398b4f8b/81ebea44/Handbackbraunstrong1.jpg),"braun,Red,black",Bag,$ 35,3,$105,2020-01-01,3,3,5,💣 Critical Stock,$105,$200,💲 Value OK,,,,
HANDBAGGHANASTYL1,Bag Ghana Style 1,HandbackGhanaStyl1.jpg (https://dl.airtable.com/.attachments/22873c3c2be99fc6f365f9844f3b7843/e796e39a/HandbackGhanaStyl1.jpg),"Red,yellow,blue",Bag,$ 40,15,$600,2020-01-01,15,15,10,✔️ Stock Ok,$600,$500,⚠ Value High ⚠,,,,
HANDBAGGHANASTYL2,Bag Ghana Style 2,HandbackGhanaStyl2.jpg (https://dl.airtable.com/.attachments/e171334f4b0cf35c498a1192a8c58921/3524fdbf/HandbackGhanaStyl2.jpg),"Red,yellow,blue,Orange,braun",Bag,$ 40,12,$480,2020-01-01,12,12,10,✔️ Stock Ok,$480,$500,💲 Value OK,,,,
HANDBAGGHANASTYL3,Bag Ghana Style 3,HandbackGhanaStyl3.jpg (https://dl.airtable.com/.attachments/859c7fb638308ff98d2118eb370b0f5b/35716038/HandbackGhanaStyl3.jpg),"Red,yellow,blue,Orange,braun",Bag,$ 40,2,$80,2020-01-01,2,2,2,✔️ Stock Ok,$80,$200,💲 Value OK,,,,
HANDBAGPINKSTRONG1,Bag hand purple,Handbackpinkstrong1.jpg (https://dl.airtable.com/.attachments/c7894b086f65c94f44d07ee415c2625f/108cd493/Handbackpinkstrong1.jpg),"pink,white,purple",Bag,$ 35,3,$105,2020-01-01,3,3,2,✔️ Stock Ok,$105,$200,💲 Value OK,,,,
HANDBAGRAINBOWSTRONG1,Bag hand rainbow,Handbackrainbowstrong1.jpg (https://dl.airtable.com/.attachments/634da80dfa994666d1e9d475e09f603c/a7a29f71/Handbackrainbowstrong1.jpg),"blue,black,Orange",Bag,$ 35,1,$35,2020-01-01,1,1,2,💣 Critical Stock,$35,$200,💲 Value OK,,,,
HANDBAGTRADITIONAL,Bag hand traditional,Handbacktraductional.jpeg (https://dl.airtable.com/.attachments/fe118a148532fc948eb2198a89e20845/9696c48e/Handbacktraductional.jpeg),"braun,Red",Bag,$ 50,1,$50,2020-01-01,1,1,2,💣 Critical Stock,$50,$200,💲 Value OK,,,,
